,0.9,VM,my_lim,min,median,actual,usage,percent
2013-09-29 21:30:00,163.3884735107,106,263.3884735107,142.8760528564,151.4384155273,11703.997296,146.29996619999997,2.2504146818345268
2013-09-29 21:31:00,161.5231628418,106,261.5231628418,139.6968383789,151.4612426758,11703.997296,146.29996619999997,2.234477300598652
2013-09-29 21:32:00,164.5172576904,106,264.5172576904,143.6714172363,151.7077941895,11703.997296,146.29996619999997,2.260059114853029
2013-09-29 21:33:00,163.6178741455,106,263.61787414549997,144.5826721191,153.3174438477,11703.997296,148.250632416,2.2523747013816804
2013-09-29 21:34:00,161.7168579102,106,261.7168579102,139.9373779297,152.1465759277,11703.997296,148.250632416,2.2361322485920714
2013-09-29 21:35:00,161.7539367676,106,261.7539367676,140.4490203857,150.8388061523,11703.997296,148.250632416,2.2364490536669726
2013-09-29 21:36:00,161.6162414551,106,261.6162414551,138.7778015137,151.4396057129,11703.997296,148.250632416,2.235272572598004
2013-09-29 21:37:00,160.8433227539,106,260.8433227539,141.3040008545,151.6212005615,11703.997296,148.250632416,2.2286686860654585
2013-09-29 21:38:00,160.1708679199,106,260.1708679199,139.9009246826,151.8179168701,11703.997296,146.29996619999997,2.2229231718023117
2013-09-29 21:39:00,160.9555206299,106,260.9555206299,134.1958007812,150.8757781982,11703.997296,146.29996619999997,2.2296273147558323
2013-09-29 21:40:00,160.9573974609,106,260.9573974609,140.9391326904,149.9701538086,11703.997296,146.29996619999997,2.2296433505678075
2013-09-29 21:41:00,162.133972168,106,262.133972168,141.4282836914,152.0813751221,11703.997296,146.29996619999997,2.2396961101280146
2013-09-29 21:42:00,166.3409729004,106,266.3409729004,150.7052459717,156.948059082,11703.997296,146.29996619999997,2.275641100766707
2013-09-29 21:43:00,171.9715576172,106,271.9715576172,149.1691894531,160.4229278564,11703.997296,148.250632416,2.323749320329645
2013-09-29 21:44:00,178.5417633057,106,278.5417633057,154.4251708984,164.2136230469,11703.997296,148.250632416,2.3798857455383677
2013-09-29 21:45:00,175.7189941406,106,275.7189941406,156.6297607422,165.1488342285,11703.997296,148.250632416,2.3557677532515386
2013-09-29 21:46:00,172.5979614258,106,272.5979614258,142.4127044678,160.8639373779,11703.997296,148.250632416,2.3291013705118
2013-09-29 21:47:00,170.3251953125,106,270.3251953125,149.8008728027,159.8500823975,11703.997296,148.250632416,2.309682653505801
2013-09-29 21:48:00,170.4945526123,106,270.4945526123,151.5933074951,161.3372192383,11703.997296,150.201298632,2.3111296574269136
2013-09-29 21:49:00,172.8690185547,106,272.8690185547,148.0987701416,158.387512207,11703.997296,150.201298632,2.33141730687136
2013-09-29 21:50:00,170.2764892578,106,270.2764892578,146.6135101318,158.1612854004,11703.997296,150.201298632,2.3092665046169367
2013-09-29 21:51:00,168.2819519043,106,268.2819519043,149.0185241699,157.7785339355,11703.997296,150.201298632,2.292224999026521
2013-09-29 21:52:00,166.8101959229,106,266.8101959229,138.7673187256,156.3287963867,11703.997296,150.201298632,2.2796501842501793
2013-09-29 21:53:00,163.3990325928,106,263.39903259280004,145.6565551758,153.3095092773,11703.997296,197.017287816,2.2505048995766623
2013-09-29 21:54:00,162.803817749,106,262.803817749,143.513458252,154.3564147949,11703.997296,197.017287816,2.245419330700092
2013-09-29 21:55:00,163.9523925781,106,263.9523925781,146.0612792969,153.5199279785,11703.997296,197.017287816,2.2552328567976456
2013-09-29 21:56:00,162.2783508301,106,262.2783508301,140.2381591797,154.41355896,11703.997296,197.017287816,2.240929694333894
2013-09-29 21:57:00,172.0768280029,106,272.0768280029,147.3014984131,158.0098419189,11703.997296,197.017287816,2.3246487599231243
2013-09-29 21:58:00,169.6869812012,106,269.6869812012,151.5919647217,159.5880737305,11703.997296,146.29996619999997,2.3042296950407635
2013-09-29 21:59:00,171.8180389404,106,271.8180389404,151.0991210938,160.6475524902,11703.997296,146.29996619999997,2.3224376430204536
